datetime,open,high,low,close
2019-02-15 14:32:53,42.107,42.1075,42.1065,42.1075
2019-02-15 14:33:00,42.1075,42.175,42.094,42.132
2019-02-15 14:34:00,42.132,42.1345,42.1025,42.1295
2019-02-15 14:35:00,42.135,42.135,42.0795,42.0795
2019-02-15 14:36:00,42.0815,42.139,42.081,42.1105
2019-02-15 14:37:00,42.1105,42.136,42.097,42.121
2019-02-15 14:38:00,42.121,42.122,42.1065,42.113
2019-02-15 14:39:00,42.113,42.113,42.083,42.087
2019-02-15 14:40:00,42.0865,42.089,42.009,42.04
2019-02-15 14:41:00,42.0405,42.0585,42.023,42.0235
2019-02-15 14:42:00,42.0235,42.0465,42.0135,42.0465
2019-02-15 14:43:00,42.0465,42.0575,42.033,42.0495
2019-02-15 14:44:00,42.0495,42.058,42.0315,42.0525
2019-02-15 14:45:00,42.0525,42.0805,42.0405,42.041
2019-02-15 14:46:00,42.041,42.0565,42.0355,42.0565
2019-02-15 14:47:00,42.0565,42.0805,42.0565,42.061
2019-02-15 14:48:00,42.061,42.1325,42.06,42.1325
2019-02-15 14:49:00,42.1325,42.1575,42.114,42.1185
2019-02-15 14:50:00,42.118,42.118,42.0835,42.093
2019-02-15 14:51:00,42.093,42.101,42.056,42.056
2019-02-15 14:52:00,42.056,42.056,42.0165,42.038
2019-02-15 14:53:00,42.0315,42.0375,42.017,42.017
2019-02-15 14:54:00,42.0165,42.0365,42.0135,42.0365
2019-02-15 14:55:00,42.0365,42.0495,42.0305,42.031
2019-02-15 14:56:00,42.031,42.062,42.0225,42.0555
2019-02-15 14:57:00,42.0555,42.155,42.051,42.153
2019-02-15 14:58:00,42.146,42.146,42.118,42.1225
2019-02-15 14:59:00,42.1225,42.1235,42.104,42.113
2019-02-15 15:00:00,42.1135,42.1195,42.075,42.082
2019-02-15 15:01:00,42.0825,42.135,42.0815,42.107
2019-02-15 15:02:00,42.107,42.107,42.039,42.039
2019-02-15 15:03:00,42.0385,42.0385,41.9725,41.9725
2019-02-15 15:04:00,41.9655,42.0155,41.933,41.9335
2019-02-15 15:05:00,41.9335,41.9485,41.8855,41.8855
2019-02-15 15:06:00,41.8845,41.9285,41.8595,41.8755
2019-02-15 15:07:00,41.876,41.8775,41.7515,41.817
2019-02-15 15:08:00,41.8165,41.817,41.7465,41.765
2019-02-15 15:09:00,41.7645,41.8465,41.7645,41.8265
2019-02-15 15:10:00,41.8255,41.826,41.7295,41.7295
2019-02-15 15:11:00,41.7295,41.7575,41.708,41.726
2019-02-15 15:12:00,41.726,41.7575,41.7115,41.7375
2019-02-15 15:13:00,41.7385,41.7995,41.7385,41.7865
2019-02-15 15:14:00,41.7865,41.7905,41.712,41.7295
2019-02-15 15:15:00,41.7295,41.7325,41.6975,41.718
2019-02-15 15:16:00,41.718,41.751,41.7145,41.728
2019-02-15 15:17:00,41.7275,41.772,41.718,41.7395
2019-02-15 15:18:00,41.7305,41.7815,41.7305,41.7815
2019-02-15 15:19:00,41.782,41.7885,41.7325,41.741
2019-02-15 15:20:00,41.7415,41.7555,41.7285,41.736
2019-02-15 15:21:00,41.7365,41.7465,41.714,41.714
2019-02-15 15:22:00,41.714,41.714,41.65,41.65
2019-02-15 15:23:00,41.6505,41.7575,41.6475,41.7575
2019-02-15 15:24:00,41.7575,41.76,41.7035,41.7355
2019-02-15 15:25:00,41.736,41.7645,41.7345,41.744
2019-02-15 15:26:00,41.744,41.7665,41.744,41.7665
2019-02-15 15:27:00,41.7665,41.7715,41.754,41.754
2019-02-15 15:28:00,41.754,41.7545,41.7415,41.7415
2019-02-15 15:29:00,41.7415,41.742,41.6555,41.683
2019-02-15 15:30:00,41.6825,41.688,41.6455,41.6755
2019-02-15 15:31:00,41.673,41.6865,41.6725,41.6745
